emissions_total_per_capita	renewable_share_of_electricity__pct
1.8866792	98.25762
1.904633	94.03095
2.3061328	84.61539
2.3061523	90.97497
2.3216877	89.77273
3.15963	9.394373
3.2892537	10.184165
3.2641847	7.532702
3.5113323	6.9777217
3.578784	6.661316
3.4995937	9.379771
0.62945837	14.285714
0.5647678	14.285714
0.6743769	14.285714
0.70683634	14.285714
0.70716006	14.285714
3.7314487	58.390137
3.638351	58.39399
2.8451347	78.38007
2.7785442	79.66574
3.1019287	77.69903
3.5182343	76.50122
2.6530128	40.733303
3.4901097	31.940903
3.6955829	36.29567
3.173522	42.577694
2.9858754	50.284634
3.335515	42.37875
0.34018838	13.753582
0.33713272	14.634147
0.30120492	16.666666
0.29269132	19.867552
0.2693715	20.338984
0.41279456	84.65316
0.41865155	84.66216
0.4273149	85.48917
0.3971593	91.98645
0.3732359	88.90601
0.74531716	55.72034
0.67204034	51.707893
0.5470852	58.569298
0.64591527	70.33097
0.64876056	67.30123
